text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,tag
RT @sdelafosse: Join me and thousands of educators from around the world at #E2 https://t.co/KRRleLWJhz #MIEExpert #edchat @MicrosoftEDU ht…,FALSE,0,NA,2021-02-13T17:11:33Z,FALSE,NA,1360637748902789121,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MariaAngelesSua,1,TRUE,FALSE,NA,NA,edchat
"RT @ReadByExample: Celebrating Emerging Writers (and Their Teachers) https://t.co/qzJquHksuB Considering different perspectives, particular…",FALSE,0,NA,2021-02-13T17:11:27Z,FALSE,NA,1360637726098399232,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",loribrasel5,1,TRUE,FALSE,NA,NA,edchat
Don’t you hate it when on the first day of a long weekend and you get sucked in to PD because it is so good? Thanks… https://t.co/qWQBRk6JOo,FALSE,0,NA,2021-02-13T17:11:11Z,TRUE,NA,1360637655227240461,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Wybo_in_Regina,0,FALSE,FALSE,NA,NA,edchat
RT @AEF_Program: Do teachers need to build a brand? How do you market yourself as an #education leader? Mark those calendars now for Thursd…,FALSE,0,NA,2021-02-13T17:10:06Z,FALSE,NA,1360637385927720965,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",moonraye,2,TRUE,FALSE,NA,NA,edchat
"RT @ASCD: Our upcoming #ASCDWebinar, presented by @FredEnde, will explore some key practices and considerations for effective Professional…",FALSE,0,NA,2021-02-13T17:09:07Z,FALSE,NA,1360637134772662273,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",199Shilpi,2,TRUE,FALSE,NA,NA,edchat
"Interested in a job in Oklahoma City, OK? This could be a great fit: https://t.co/p318gkNzJH #edchat #highered",FALSE,0,NA,2021-02-13T17:07:49Z,FALSE,NA,1360636809022119937,NA,"<a href=""https://www.careerarc.com"" rel=""nofollow"">CareerArc 2.0</a>",JobsatOSUOKC,0,FALSE,FALSE,-97.5812857,35.4709331,edchat
RT @gtchatmod: Join Global #gtchat (#giftED #talented) Powered by #TAGT @TXGifted this week (2/18). Our topic: “Integrating #AI into Gifted…,FALSE,0,NA,2021-02-13T17:06:28Z,FALSE,NA,1360636470999076864,NA,,PyScaleLLC,1,TRUE,FALSE,NA,NA,edchat
"“People who add value to others do so intentionally. I say that because to add value, leaders must give of themselv… https://t.co/P777Lk3QgY",FALSE,3,NA,2021-02-13T17:06:02Z,TRUE,NA,1360636359363338240,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RosaIsiah,0,FALSE,FALSE,NA,NA,edchat
RT @PunkClassrooms: Still handcuffed to your work email notifications on your phone? Check out @MikeREarnshaw's latest #blog on how he brok…,FALSE,0,NA,2021-02-13T17:05:12Z,FALSE,NA,1360636149144846340,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JoshRBuckley,2,TRUE,FALSE,NA,NA,edchat
Anyone in the Twitter-verse have advice for PhD program interviews? 🙏🏼 #EdChat #phdchat #InterviewTips,FALSE,0,NA,2021-02-13T17:04:26Z,FALSE,NA,1360635958627078147,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",cegrosse,0,FALSE,FALSE,NA,NA,edchat
"RT @FixingEducation: Most teachers DON’T need...
•More advice
•Forced training
•Extra tasks

However, they DO need...
•SUPPORT (every kind!…",FALSE,0,NA,2021-02-13T17:02:26Z,FALSE,NA,1360635453498662919,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",samsonYiya,132,TRUE,FALSE,NA,NA,edchat
"RT @teacher2teacher: 😎 When you know, you know. #edchat #TeacherTwitter #TeacherVoice https://t.co/VrL9MOui2r",FALSE,0,NA,2021-02-13T17:00:55Z,FALSE,NA,1360635072651485192,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",leotarius,4,TRUE,FALSE,NA,NA,edchat
Join Global #gtchat (#giftED #talented) Powered by #TAGT @TXGifted this week (2/18). Our topic: “Integrating #AI in… https://t.co/Dhc3Q0qm8v,FALSE,0,NA,2021-02-13T17:00:02Z,TRUE,NA,1360634850563084299,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",gtchatmod,1,FALSE,FALSE,NA,NA,edchat
It’s time to be #superheroes! The Kids Read Now Wishlist of over 120+ titles has books for all K-3 students because… https://t.co/FOKu3TuTxg,FALSE,0,NA,2021-02-13T17:00:01Z,TRUE,NA,1360634848730206210,NA,"<a href=""https://social.zoho.com"" rel=""nofollow"">Zoho Social</a>",KidsReadNow,0,FALSE,FALSE,NA,NA,edchat
"RT @Erik_Youngman: Join us for the free #InnovativeWorldTeacherSummit  on February 22-24.

https://t.co/jp3XEs0lfX

25 Speakers include: @E…",FALSE,0,NA,2021-02-13T16:59:11Z,FALSE,NA,1360634635751813121,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",HansNAppel,1,TRUE,FALSE,NA,NA,edchat
"When I hear the calling out of a red herring in the news, I am always happy that such fallacies are something we’ve… https://t.co/JvfGmgw6re",FALSE,0,NA,2021-02-13T16:59:00Z,TRUE,NA,1360634588834504717,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",tb_sanders,0,FALSE,FALSE,NA,NA,edchat
"RT @FixingEducation: Most teachers DON’T need...
•More advice
•Forced training
•Extra tasks

However, they DO need...
•SUPPORT (every kind!…",FALSE,0,NA,2021-02-13T16:58:27Z,FALSE,NA,1360634454147018764,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CheriJF,132,TRUE,FALSE,NA,NA,edchat
RT @d_martin05: There is an abundance of data and info in a conversation with students and/or observing students work through a problem in…,FALSE,0,NA,2021-02-13T16:58:17Z,FALSE,NA,1360634411511783427,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",shelcloke,7,TRUE,FALSE,NA,NA,edchat
"RT @EdSource: LISTEN: @EdSource reporters share insights on grading students, measuring English learner progress and new @calstate chancell…",FALSE,0,NA,2021-02-13T16:58:11Z,FALSE,NA,1360634383384805376,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",calstate,1,TRUE,FALSE,NA,NA,edchat
Join me and thousands of educators from around the world at #E2 https://t.co/KRRleLWJhz #MIEExpert #edchat… https://t.co/FHfeFqW07X,FALSE,3,NA,2021-02-13T16:57:48Z,TRUE,NA,1360634288861925376,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sdelafosse,1,FALSE,FALSE,NA,NA,edchat
If you can survive 100 days of middle school you deserve to be celebrated! @YsletaISD @HaggertyShane @JMacias_CI… https://t.co/cdNTazwBEK,FALSE,2,NA,2021-02-13T16:56:17Z,TRUE,NA,1360633906815524867,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",reynahustles,0,FALSE,FALSE,NA,NA,edchat
"RT @Rdene915: Saturday is a great time for #teacherPD #edchat #learning w/ #EdChatEU at 7am EST then #satchat  #PD4uandme 830 amEST, follow…",FALSE,0,NA,2021-02-13T16:55:32Z,FALSE,NA,1360633720559050762,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",bar_zie,5,TRUE,FALSE,NA,NA,edchat
RT @MassCUE: Don't miss out! Our 40% off promo ends TODAY! #masscue #edchat #edtech #education #lrnchat #edapp #classroom #teaching #global…,FALSE,0,NA,2021-02-13T16:55:07Z,FALSE,NA,1360633611700088833,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",capecodlibrary,2,TRUE,FALSE,NA,NA,edchat
RT @clegleiter: Leaders recognize importance of getting feedback from those they serve to maximize their influence and impact. Blog post “S…,FALSE,0,NA,2021-02-13T16:52:58Z,FALSE,NA,1360633073872769027,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Karyn_Mitchell,2,TRUE,FALSE,NA,NA,edchat
"Our young people know...are we asking them?

@100daysconv #100daysconv
@REENVISIONED #edchat #stuvoice https://t.co/yel3y1rxOb",FALSE,2,NA,2021-02-13T16:52:35Z,FALSE,NA,1360632974639792134,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",erinlynnraab,0,FALSE,FALSE,NA,NA,edchat
"This 🔥
Yep. Teachers are NOT asking too much from their admin 🙄
@OlatheNEA #ksedchat #edchat https://t.co/tSPTk8nilV",FALSE,2,NA,2021-02-13T16:51:43Z,FALSE,NA,1360632760038281218,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MSilvaSerrano,0,FALSE,FALSE,NA,NA,edchat
RT @Erik_Youngman: I hope you join the discussion about meaningful and reasonable #homework and independent practice during #HybridLearning…,FALSE,0,NA,2021-02-13T16:51:23Z,FALSE,NA,1360632674092744704,NA,"<a href=""https://twitter.com/jc_james_clark"" rel=""nofollow"">James Clark App</a>",jc_james_clark,1,TRUE,FALSE,NA,NA,edchat
Takeaways From Distance Learning  https://t.co/a05dh04Kyv  #edchat #satchat #remotelearning,FALSE,0,NA,2021-02-13T16:51:22Z,FALSE,NA,1360632668459835395,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",msommerville,0,FALSE,FALSE,NA,NA,edchat
"RT @Rdene915: Grab copies of my books, In Other Words &amp;  Unconventional Ways to @ThriveinEDU https://t.co/WTnxUFd0Pi, Ideas to try today #p…",FALSE,0,NA,2021-02-13T16:51:06Z,FALSE,NA,1360632602571530242,NA,"<a href=""https://twitter.com/jc_james_clark"" rel=""nofollow"">James Clark App</a>",jc_james_clark,1,TRUE,FALSE,NA,NA,edchat
"RT @Erik_Youngman: “Designing and Facilitating Learning for an Alternating A-B Hybrid Schedule” via @Catlin_Tucker.

#k12 #Education #SEL #…",FALSE,0,NA,2021-02-13T16:50:57Z,FALSE,NA,1360632563191205889,NA,"<a href=""https://twitter.com/jc_james_clark"" rel=""nofollow"">James Clark App</a>",jc_james_clark,3,TRUE,FALSE,NA,NA,edchat
Photos as a Teaching Tool ~ remote or hybrid learning? Use photos to grab your students’ interest!… https://t.co/t15ALXz7uu,FALSE,0,NA,2021-02-13T16:50:45Z,TRUE,NA,1360632512721137665,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RorysK,0,FALSE,FALSE,NA,NA,edchat
"RT @FixingEducation: Most teachers DON’T need...
•More advice
•Forced training
•Extra tasks

However, they DO need...
•SUPPORT (every kind!…",FALSE,0,NA,2021-02-13T16:50:03Z,FALSE,NA,1360632339353661441,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ProfeAldemir,132,TRUE,FALSE,NA,NA,edchat
"GCSE Physics Radiation Properties Revision https://t.co/xe92cT7Bg8 via @YouTube 

#ukedchat #revision #gcse… https://t.co/T82uEQpwQf",FALSE,0,NA,2021-02-13T16:50:00Z,TRUE,NA,1360632324866596869,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",teacherchalky1,0,FALSE,FALSE,NA,NA,edchat
Want to Turn Things Around in Class? Flippity Them #edtech #edchat https://t.co/ErQfMrgWnm,FALSE,0,NA,2021-02-13T16:48:48Z,FALSE,NA,1360632022465716229,NA,"<a href=""http://www.thepaperlesstrail.com"" rel=""nofollow"">tweetmycontent</a>",eduappsandmore,0,FALSE,FALSE,NA,NA,edchat
"RT @FixingEducation: Most teachers DON’T need...
•More advice
•Forced training
•Extra tasks

However, they DO need...
•SUPPORT (every kind!…",FALSE,0,NA,2021-02-13T16:46:48Z,FALSE,NA,1360631520860524549,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",k66523987,132,TRUE,FALSE,NA,NA,edchat
RT @oodlu_tweets: Have you seen the awesome https://t.co/F6SpgKx1go app on https://t.co/lXS7wtI42O? https://t.co/mmh1PyO95u #edchat #edtech…,FALSE,0,NA,2021-02-13T16:46:48Z,FALSE,NA,1360631519417675783,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",wayneholmes,1,TRUE,FALSE,NA,NA,edchat
RT @d_martin05: There is an abundance of data and info in a conversation with students and/or observing students work through a problem in…,FALSE,0,NA,2021-02-13T16:46:38Z,FALSE,NA,1360631480771248130,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jimmilouirvine,7,TRUE,FALSE,NA,NA,edchat
RT @PunkClassrooms: Still handcuffed to your work email notifications on your phone? Check out @MikeREarnshaw's latest #blog on how he brok…,FALSE,0,NA,2021-02-13T16:46:13Z,FALSE,NA,1360631373904683009,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MikeREarnshaw,2,TRUE,FALSE,NA,NA,edchat
Tired of outside trainers and disengaging in-service days? Here's some advice to prop up a research center at your… https://t.co/Yid2y5TKm7,FALSE,0,NA,2021-02-13T16:45:00Z,TRUE,NA,1360631066663350273,NA,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",NextGenLC,0,FALSE,FALSE,NA,NA,edchat
